close,high,low,open,startTime,time,volume
1.6357,1.6502,1.6352,1.6447,2020-07-20T23:00:00+00:00,1595286000000.0,0.0
1.369,1.369,1.3409,1.359,2020-07-27T23:00:00+00:00,1595890800000.0,1899.19065
1.359,1.3735,1.3176,1.3415,2020-07-27T22:00:00+00:00,1595887200000.0,2728.13543
1.3415,1.3791,1.3411,1.3791,2020-07-27T21:00:00+00:00,1595883600000.0,2600.55244
1.3791,1.393,1.3754,1.3863,2020-07-27T20:00:00+00:00,1595880000000.0,0.13791
1.3863,1.3877,1.3686,1.3742,2020-07-27T19:00:00+00:00,1595876400000.0,325.63732
1.3742,1.3902,1.3366,1.3413,2020-07-27T18:00:00+00:00,1595872800000.0,1493.34735
1.3413,1.3418,1.2946,1.3104,2020-07-27T17:00:00+00:00,1595869200000.0,2404.02365
1.3104,1.3493,1.2972,1.331,2020-07-27T16:00:00+00:00,1595865600000.0,2349.37743
1.331,1.331,1.2623,1.2827,2020-07-27T15:00:00+00:00,1595862000000.0,1341.35979
1.2827,1.3637,1.2823,1.3637,2020-07-27T14:00:00+00:00,1595858400000.0,4804.8597
1.3637,1.4057,1.3637,1.4057,2020-07-27T13:00:00+00:00,1595854800000.0,601.39194
1.4057,1.4133,1.4024,1.4068,2020-07-27T12:00:00+00:00,1595851200000.0,0.0
1.4068,1.4132,1.3982,1.4091,2020-07-27T11:00:00+00:00,1595847600000.0,1048.15944
1.4091,1.423,1.4091,1.4164,2020-07-27T10:00:00+00:00,1595844000000.0,1621.74487
1.4164,1.4334,1.415,1.4286,2020-07-27T09:00:00+00:00,1595840400000.0,641.39987
1.4286,1.4286,1.3991,1.3994,2020-07-27T08:00:00+00:00,1595836800000.0,512.86221
1.3994,1.4102,1.3985,1.4073,2020-07-27T07:00:00+00:00,1595833200000.0,746.42955
1.4073,1.4145,1.4012,1.4025,2020-07-27T06:00:00+00:00,1595829600000.0,1730.88649
1.4025,1.426,1.3997,1.4075,2020-07-27T05:00:00+00:00,1595826000000.0,171.7882
1.4075,1.4301,1.3995,1.4008,2020-07-27T04:00:00+00:00,1595822400000.0,175.37142
1.4008,1.4683,1.3796,1.4643,2020-07-27T03:00:00+00:00,1595818800000.0,917.05044
1.4643,1.4807,1.4629,1.4807,2020-07-27T02:00:00+00:00,1595815200000.0,430.39604
1.4807,1.4995,1.4663,1.4945,2020-07-27T01:00:00+00:00,1595811600000.0,172.50155
1.4945,1.5315,1.4888,1.5116,2020-07-27T00:00:00+00:00,1595808000000.0,1384.61008
1.5116,1.5201,1.5003,1.5011,2020-07-26T23:00:00+00:00,1595804400000.0,693.41118
1.5011,1.5037,1.4968,1.4973,2020-07-26T22:00:00+00:00,1595800800000.0,173.6288
1.4973,1.5112,1.4966,1.4995,2020-07-26T21:00:00+00:00,1595797200000.0,620.89815
1.4995,1.4996,1.472,1.4773,2020-07-26T20:00:00+00:00,1595793600000.0,0.0
1.4773,1.485,1.4683,1.484,2020-07-26T19:00:00+00:00,1595790000000.0,10.2914
1.484,1.4865,1.4806,1.4864,2020-07-26T18:00:00+00:00,1595786400000.0,0.0
1.4864,1.4882,1.4618,1.4623,2020-07-26T17:00:00+00:00,1595782800000.0,198.00482
1.4623,1.4785,1.4429,1.4785,2020-07-26T16:00:00+00:00,1595779200000.0,911.74948
1.4785,1.5013,1.4781,1.5004,2020-07-26T15:00:00+00:00,1595775600000.0,866.17395
1.5004,1.5028,1.4973,1.4995,2020-07-26T14:00:00+00:00,1595772000000.0,173.75491
1.4995,1.5112,1.4949,1.5009,2020-07-26T13:00:00+00:00,1595768400000.0,2365.36658
1.5009,1.5058,1.4784,1.5057,2020-07-26T12:00:00+00:00,1595764800000.0,1067.12483
1.5057,1.5069,1.4936,1.4969,2020-07-26T11:00:00+00:00,1595761200000.0,2692.17483
1.4969,1.5362,1.4919,1.5362,2020-07-26T10:00:00+00:00,1595757600000.0,14139.95821
1.5362,1.5586,1.5361,1.5586,2020-07-26T09:00:00+00:00,1595754000000.0,3606.45545
1.5586,1.574,1.5584,1.5618,2020-07-26T08:00:00+00:00,1595750400000.0,969.63196
1.5618,1.5707,1.5614,1.5633,2020-07-26T07:00:00+00:00,1595746800000.0,10.80478
1.5633,1.565,1.5558,1.5637,2020-07-26T06:00:00+00:00,1595743200000.0,700.70833
1.5637,1.5715,1.5585,1.5715,2020-07-26T05:00:00+00:00,1595739600000.0,1214.07249
1.5715,1.5899,1.5686,1.5752,2020-07-26T04:00:00+00:00,1595736000000.0,4739.65947
1.5752,1.5752,1.5622,1.5657,2020-07-26T03:00:00+00:00,1595732400000.0,408.88542
1.5657,1.5658,1.5465,1.5488,2020-07-26T02:00:00+00:00,1595728800000.0,0.0
1.5488,1.5515,1.5434,1.5511,2020-07-26T01:00:00+00:00,1595725200000.0,0.0
1.5511,1.5512,1.532,1.5322,2020-07-26T00:00:00+00:00,1595721600000.0,205.68976
1.5322,1.5631,1.531,1.5631,2020-07-25T23:00:00+00:00,1595718000000.0,839.27423
1.5631,1.5773,1.5631,1.5726,2020-07-25T22:00:00+00:00,1595714400000.0,2592.4527
1.5726,1.5797,1.5637,1.5696,2020-07-25T21:00:00+00:00,1595710800000.0,14877.65562
1.5696,1.5763,1.5651,1.5761,2020-07-25T20:00:00+00:00,1595707200000.0,3027.51564
1.5761,1.5793,1.5744,1.5793,2020-07-25T19:00:00+00:00,1595703600000.0,1085.44984
1.5793,1.5829,1.5694,1.5826,2020-07-25T18:00:00+00:00,1595700000000.0,2490.06886
1.5826,1.5858,1.5695,1.579,2020-07-25T17:00:00+00:00,1595696400000.0,1039.69901
1.579,1.5887,1.5693,1.5709,2020-07-25T16:00:00+00:00,1595692800000.0,3429.24756
1.5709,1.5803,1.5677,1.5679,2020-07-25T15:00:00+00:00,1595689200000.0,0.0
1.5677,1.5764,1.5667,1.5761,2020-07-25T14:00:00+00:00,1595685600000.0,454.27665
1.5761,1.5764,1.5636,1.5697,2020-07-25T13:00:00+00:00,1595682000000.0,239.37397
1.5697,1.5858,1.5671,1.5855,2020-07-25T12:00:00+00:00,1595678400000.0,64.81026
1.5855,1.5884,1.5846,1.5879,2020-07-25T11:00:00+00:00,1595674800000.0,0.15855
1.5879,1.5879,1.5802,1.5826,2020-07-25T10:00:00+00:00,1595671200000.0,0.0
1.5826,1.5879,1.5798,1.5798,2020-07-25T09:00:00+00:00,1595667600000.0,6.82797
1.5798,1.5924,1.5684,1.5689,2020-07-25T08:00:00+00:00,1595664000000.0,505.21758
1.5689,1.5731,1.5686,1.5689,2020-07-25T07:00:00+00:00,1595660400000.0,0.0
1.5689,1.5722,1.5669,1.5713,2020-07-25T06:00:00+00:00,1595656800000.0,13.17876
